Entity,Code,Year,Corruption Perception Index - Transparency International (2018).x,Share of the population in extreme poverty.x,Corruption Perception Index - Transparency International (2018).y,Share of the population in extreme poverty.y,Oil production (TWh).x,HAQ Index (IHME (2017)).x,Gender Inequality Index (Human Development Report (2015)).x,GDP per capita (constant 2015 US$).x,freeexpr_bti.x,electfreefair_bti.x,"Foreign direct investment, net outflows (% of GDP).x","Foreign direct investment, net inflows (% of GDP).x",Birth rate - Sex: all - Age: all - Variant: estimates.x,Deaths - Cardiovascular diseases - Sex: Both - Age: Age-standardized (Rate).x,Oil production (TWh).y,HAQ Index (IHME (2017)).y,Gender Inequality Index (Human Development Report (2015)).y,GDP per capita (constant 2015 US$).y,freeexpr_bti.y,electfreefair_bti.y,"Foreign direct investment, net outflows (% of GDP).y","Foreign direct investment, net inflows (% of GDP).y",Birth rate - Sex: all - Age: all - Variant: estimates.y,Deaths - Cardiovascular diseases - Sex: Both - Age: Age-standardized (Rate).y
Algeria,DZA,1983,NA,NA,NA,NA,522.8082886,NA,NA,3352.699707,NA,NA,0.02995293,8.56E-04,41.08800125,NA,522.8082886,NA,NA,3352.699707,NA,NA,0.02995293,8.56E-04,41.08800125,NA
Algeria,DZA,1984,NA,NA,NA,NA,567.3807373,NA,NA,3432.806396,NA,NA,0.027279658,0.001494776,39.86500168,NA,567.3807373,NA,NA,3432.806396,NA,NA,0.027279658,0.001494776,39.86500168,NA
Algeria,DZA,1985,NA,NA,NA,NA,547.3196411,NA,NA,3453.821533,NA,NA,0.004119464,6.87E-04,38.70999908,NA,547.3196411,NA,NA,3453.821533,NA,NA,0.004119464,6.87E-04,38.70999908,NA
Algeria,DZA,1986,NA,NA,NA,NA,563.8136597,NA,NA,3366.938965,NA,NA,-0.008347215,0.008347215,36.85900116,NA,563.8136597,NA,NA,3366.938965,NA,NA,-0.008347215,0.008347215,36.85900116,NA
Algeria,DZA,1987,NA,NA,NA,NA,583.7999268,NA,NA,3248.881104,NA,NA,0.022551551,0.005560657,35.24200058,NA,583.7999268,NA,NA,3248.881104,NA,NA,0.022551551,0.005560657,35.24200058,NA
Algeria,DZA,1988,NA,NA,NA,NA,611.4503784,NA,NA,3128.337646,NA,NA,0.008297615,0.022031596,33.67900085,NA,611.4503784,NA,NA,3128.337646,NA,NA,0.008297615,0.022031596,33.67900085,NA
Algeria,DZA,1989,NA,NA,NA,NA,633.6583862,NA,NA,3179.773438,NA,NA,0.014646903,0.021734113,32.38600159,NA,633.6583862,NA,NA,3179.773438,NA,NA,0.014646903,0.021734113,32.38600159,NA
Algeria,DZA,1990,NA,NA,NA,NA,678.6743774,48.2,NA,3123.997559,NA,NA,0.007556668,5.40E-04,30.76199913,659.58,678.6743774,48.2,NA,3123.997559,NA,NA,0.007556668,5.40E-04,30.76199913,659.58
Algeria,DZA,1991,NA,NA,NA,NA,682.6080322,NA,NA,3011.5,NA,NA,0.110006072,0.025458887,30.03100014,629.14,682.6080322,NA,NA,3011.5,NA,NA,0.110006072,0.025458887,30.03100014,629.14
Algeria,DZA,1992,NA,NA,NA,NA,657.1113892,NA,NA,2994.491211,NA,NA,2.08E-06,0.062495992,29.51300049,615.57,657.1113892,NA,NA,2994.491211,NA,NA,2.08E-06,0.062495992,29.51300049,615.57
Algeria,DZA,1993,NA,NA,NA,NA,655.0389404,NA,NA,2867.195801,NA,NA,2.00E-06,2.00E-06,28.43000031,604.46,655.0389404,NA,NA,2867.195801,NA,NA,2.00E-06,2.00E-06,28.43000031,604.46
Algeria,DZA,1994,NA,NA,NA,NA,652.1087036,NA,NA,2783.155029,NA,NA,2.35E-06,2.35E-06,27.21100044,597,652.1087036,NA,NA,2783.155029,NA,NA,2.35E-06,2.35E-06,27.21100044,597
Algeria,DZA,1995,NA,NA,NA,NA,649.0848999,52.6,0.68000001,2834.265137,NA,NA,2.39E-06,2.39E-06,24.75799942,587.58,649.0848999,52.6,0.68000001,2834.265137,NA,NA,2.39E-06,2.39E-06,24.75799942,587.58
Algeria,DZA,1996,NA,NA,NA,NA,686.3132935,NA,NA,2899.193115,NA,NA,2.13E-06,0.575182974,22.74500084,577.17,686.3132935,NA,NA,2899.193115,NA,NA,2.13E-06,0.575182974,22.74500084,577.17
Algeria,DZA,1997,NA,NA,NA,NA,716.0244751,NA,NA,2884.120117,NA,NA,2.08E-06,0.539669752,21.15399933,566.79,716.0244751,NA,NA,2884.120117,NA,NA,2.08E-06,0.539669752,21.15399933,566.79
Algeria,DZA,1998,NA,NA,NA,NA,713.916748,NA,NA,2986.055664,NA,NA,0.002075216,1.258826256,20.0170002,553.78,713.916748,NA,NA,2986.055664,NA,NA,0.002075216,1.258826256,20.0170002,553.78
Algeria,DZA,1999,NA,NA,NA,NA,680.6859741,NA,NA,3038.272949,NA,NA,0.01562479,0.59949851,19.68000031,548.21,680.6859741,NA,NA,3038.272949,NA,NA,0.01562479,0.59949851,19.68000031,548.21
Algeria,DZA,2000,NA,NA,NA,NA,776.7327881,56.2,0.62699997,3111.17627,NA,NA,0.025004383,0.511220992,19.54299927,536.99,776.7327881,56.2,0.62699997,3111.17627,NA,NA,0.025004383,0.511220992,19.54299927,536.99
Algeria,DZA,2001,NA,NA,NA,NA,764.6841431,NA,NA,3162.811523,NA,NA,0.016987942,2.033265829,19.43300056,525.37,764.6841431,NA,NA,3162.811523,NA,NA,0.016987942,2.033265829,19.43300056,525.37
Algeria,DZA,2002,NA,NA,NA,NA,824.4971924,NA,NA,3297.612793,NA,NA,0.173659936,1.876239061,19.42099953,513.55,824.4971924,NA,NA,3297.612793,NA,NA,0.173659936,1.876239061,19.42099953,513.55
Algeria,DZA,2003,NA,NA,NA,NA,918.828125,NA,NA,3490.223145,NA,NA,0.041731559,0.939901352,19.95899963,500.19,918.828125,NA,NA,3490.223145,NA,NA,0.041731559,0.939901352,19.95899963,500.19
Algeria,DZA,2004,NA,NA,NA,NA,971.6981201,NA,NA,3592.645264,NA,NA,0.287639022,1.036824465,20.5340004,489.44,971.6981201,NA,NA,3592.645264,NA,NA,0.287639022,1.036824465,20.5340004,489.44
Algeria,DZA,2005,NA,NA,NA,NA,1005.270081,59.6,0.56099999,3752.096191,5,5,0.053295489,1.120174289,21.16600037,479.1,1005.270081,59.6,0.56099999,3752.096191,5,5,0.053295489,1.120174289,21.16600037,479.1
Algeria,DZA,2006,NA,NA,NA,NA,1002.529236,NA,NA,3760.155273,NA,NA,0.067505613,1.573137164,21.83099937,469.59,1002.529236,NA,NA,3760.155273,NA,NA,0.067505613,1.573137164,21.83099937,469.59
Algeria,DZA,2007,NA,NA,NA,NA,1005.785645,NA,NA,3828.148438,5,4,0.108901016,1.249646664,22.64999962,460.61,1005.785645,NA,NA,3828.148438,5,4,0.108901016,1.249646664,22.64999962,460.61
Algeria,DZA,2008,NA,NA,NA,NA,985.7705078,NA,NA,3856.407715,NA,NA,0.185877815,1.543038726,23.41300011,452.33,985.7705078,NA,NA,3856.407715,NA,NA,0.185877815,1.543038726,23.41300011,452.33
Algeria,DZA,2009,NA,NA,NA,NA,898.2314453,NA,NA,3851.213867,6,4,0.156272545,2.00197506,24.0510006,444.64,898.2314453,NA,NA,3851.213867,6,4,0.156272545,2.00197506,24.0510006,444.64
Algeria,DZA,2010,NA,NA,NA,NA,858.0032349,62.2,0.523,3918.486328,NA,NA,0.135994524,1.426963687,24.45800018,437.72,858.0032349,62.2,0.523,3918.486328,NA,NA,0.135994524,1.426963687,24.45800018,437.72
Algeria,DZA,2011,NA,NA,NA,NA,833.5802612,NA,0.514,3956.895752,6,4,0.266941398,1.28553462,24.81500053,433.45,833.5802612,NA,0.514,3956.895752,6,4,0.266941398,1.28553462,24.81500053,433.45
Angola,AGO,1900,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1901,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1902,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1903,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1904,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1905,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1906,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1907,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1908,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1909,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1910,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1911,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1912,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1913,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1914,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1915,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1916,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1917,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1918,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1919,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1920,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1921,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1922,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1923,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1924,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1925,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1926,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1927,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1928,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1929,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1930,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1931,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1932,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1933,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1934,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1935,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1936,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1937,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1938,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1939,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1940,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1941,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1942,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1943,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1944,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1945,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1946,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1947,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1948,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1949,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,1950,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,46.14699936,NA,0,NA,NA,NA,NA,NA,NA,NA,46.14699936,NA
Angola,AGO,1951,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,46.47299957,NA,0,NA,NA,NA,NA,NA,NA,NA,46.47299957,NA
Angola,AGO,1952,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,47.17900085,NA,0,NA,NA,NA,NA,NA,NA,NA,47.17900085,NA
Angola,AGO,1953,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,47.75999832,NA,0,NA,NA,NA,NA,NA,NA,NA,47.75999832,NA
Angola,AGO,1954,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,48.35300064,NA,0,NA,NA,NA,NA,NA,NA,NA,48.35300064,NA
Angola,AGO,1955,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,48.88899994,NA,0,NA,NA,NA,NA,NA,NA,NA,48.88899994,NA
Angola,AGO,1956,NA,NA,NA,NA,0.093039997,NA,NA,NA,NA,NA,NA,NA,49.41500092,NA,0.093039997,NA,NA,NA,NA,NA,NA,NA,49.41500092,NA
Angola,AGO,1957,NA,NA,NA,NA,0.116300002,NA,NA,NA,NA,NA,NA,NA,49.89400101,NA,0.116300002,NA,NA,NA,NA,NA,NA,NA,49.89400101,NA
Angola,AGO,1958,NA,NA,NA,NA,0.593129992,NA,NA,NA,NA,NA,NA,NA,50.32699966,NA,0.593129992,NA,NA,NA,NA,NA,NA,NA,50.32699966,NA
Angola,AGO,1959,NA,NA,NA,NA,0.593129992,NA,NA,NA,NA,NA,NA,NA,50.73300171,NA,0.593129992,NA,NA,NA,NA,NA,NA,NA,50.73300171,NA
Angola,AGO,1960,NA,NA,NA,NA,0.779209971,NA,NA,NA,NA,NA,NA,NA,51.02600098,NA,0.779209971,NA,NA,NA,NA,NA,NA,NA,51.02600098,NA
Angola,AGO,1961,NA,NA,NA,NA,1.209519982,NA,NA,NA,NA,NA,NA,NA,51.2820015,NA,1.209519982,NA,NA,NA,NA,NA,NA,NA,51.2820015,NA
Angola,AGO,1962,NA,NA,NA,NA,5.477729797,NA,NA,NA,NA,NA,NA,NA,51.31600189,NA,5.477729797,NA,NA,NA,NA,NA,NA,NA,51.31600189,NA
Angola,AGO,1963,NA,NA,NA,NA,9.303999901,NA,NA,NA,NA,NA,NA,NA,51.32300186,NA,9.303999901,NA,NA,NA,NA,NA,NA,NA,51.32300186,NA
Angola,AGO,1964,NA,NA,NA,NA,10.5251503,NA,NA,NA,NA,NA,NA,NA,51.2820015,NA,10.5251503,NA,NA,NA,NA,NA,NA,NA,51.2820015,NA
Angola,AGO,1965,NA,NA,NA,NA,7.617650032,NA,NA,NA,NA,NA,NA,NA,51.2820015,NA,7.617650032,NA,NA,NA,NA,NA,NA,NA,51.2820015,NA
Angola,AGO,1966,NA,NA,NA,NA,7.338530064,NA,NA,NA,NA,NA,NA,NA,51.29499817,NA,7.338530064,NA,NA,NA,NA,NA,NA,NA,51.29499817,NA
Angola,AGO,1967,NA,NA,NA,NA,6.24530983,NA,NA,NA,NA,NA,NA,NA,51.31399918,NA,6.24530983,NA,NA,NA,NA,NA,NA,NA,51.31399918,NA
Angola,AGO,1968,NA,NA,NA,NA,8.722499847,NA,NA,NA,NA,NA,NA,NA,51.34799957,NA,8.722499847,NA,NA,NA,NA,NA,NA,NA,51.34799957,NA
Angola,AGO,1969,NA,NA,NA,NA,28.58654022,NA,NA,NA,NA,NA,NA,NA,51.35300064,NA,28.58654022,NA,NA,NA,NA,NA,NA,NA,51.35300064,NA
Angola,AGO,1970,NA,NA,NA,NA,58.90594864,NA,NA,NA,NA,NA,NA,NA,51.26699829,NA,58.90594864,NA,NA,NA,NA,NA,NA,NA,51.26699829,NA
Angola,AGO,1971,NA,NA,NA,NA,66.53523254,NA,NA,NA,NA,NA,NA,NA,50.69800186,NA,66.53523254,NA,NA,NA,NA,NA,NA,NA,50.69800186,NA
Angola,AGO,1972,NA,NA,NA,NA,82.07290649,NA,NA,NA,NA,NA,NA,NA,50.47399902,NA,82.07290649,NA,NA,NA,NA,NA,NA,NA,50.47399902,NA
Angola,AGO,1973,NA,NA,NA,NA,95.07524872,NA,NA,NA,NA,NA,NA,NA,50.46699905,NA,95.07524872,NA,NA,NA,NA,NA,NA,NA,50.46699905,NA
Angola,AGO,1974,NA,NA,NA,NA,99.33183289,NA,NA,NA,NA,NA,NA,NA,50.47200012,NA,99.33183289,NA,NA,NA,NA,NA,NA,NA,50.47200012,NA
Angola,AGO,1975,NA,NA,NA,NA,90.60932922,NA,NA,NA,NA,NA,NA,NA,50.46900177,NA,90.60932922,NA,NA,NA,NA,NA,NA,NA,50.46900177,NA
Angola,AGO,1976,NA,NA,NA,NA,87.9693222,NA,NA,NA,NA,NA,NA,NA,50.51399994,NA,87.9693222,NA,NA,NA,NA,NA,NA,NA,50.51399994,NA
Angola,AGO,1977,NA,NA,NA,NA,82.13105774,NA,NA,NA,NA,NA,NA,NA,50.52299881,NA,82.13105774,NA,NA,NA,NA,NA,NA,NA,50.52299881,NA
Angola,AGO,1978,NA,NA,NA,NA,75.23446655,NA,NA,NA,NA,NA,NA,NA,50.61600113,NA,75.23446655,NA,NA,NA,NA,NA,NA,NA,50.61600113,NA
Angola,AGO,1979,NA,NA,NA,NA,83.73600006,NA,NA,NA,NA,NA,NA,NA,50.73199844,NA,83.73600006,NA,NA,NA,NA,NA,NA,NA,50.73199844,NA
Angola,AGO,1980,NA,NA,NA,NA,86.38764191,NA,NA,3550.083008,NA,NA,NA,0.630975127,50.89199829,NA,86.38764191,NA,NA,3550.083008,NA,NA,NA,0.630975127,50.89199829,NA
Angola,AGO,1981,NA,NA,NA,NA,83.24754333,NA,NA,3276.361816,NA,NA,NA,0.883706868,51.10900116,NA,83.24754333,NA,NA,3276.361816,NA,NA,NA,0.883706868,51.10900116,NA
Angola,AGO,1982,NA,NA,NA,NA,74.5483017,NA,NA,3162.00415,NA,NA,NA,2.086485147,51.30699921,NA,74.5483017,NA,NA,3162.00415,NA,NA,NA,2.086485147,51.30699921,NA
Angola,AGO,1983,NA,NA,NA,NA,102.2276993,NA,NA,3179.348145,NA,NA,NA,1.803662539,51.61000061,NA,102.2276993,NA,NA,3179.348145,NA,NA,NA,1.803662539,51.61000061,NA
Angola,AGO,1984,NA,NA,NA,NA,117.1606216,NA,NA,3252.10791,NA,NA,NA,1.095005631,51.93500137,NA,117.1606216,NA,NA,3252.10791,NA,NA,NA,1.095005631,51.93500137,NA
Angola,AGO,1985,NA,NA,NA,NA,133.1867676,NA,NA,3248.608154,NA,NA,0,3.680383682,52.13600159,NA,133.1867676,NA,NA,3248.608154,NA,NA,0,3.680383682,52.13600159,NA
Angola,AGO,1986,NA,NA,NA,NA,161.9593811,NA,NA,3226.817139,NA,NA,0,3.308793783,52.18999863,NA,161.9593811,NA,NA,3226.817139,NA,NA,0,3.308793783,52.18999863,NA
Angola,AGO,1987,NA,NA,NA,NA,203.5947876,NA,NA,3242.579102,NA,NA,0,1.472066879,52.14599991,NA,203.5947876,NA,NA,3242.579102,NA,NA,0,1.472066879,52.14599991,NA
Angola,AGO,1988,NA,NA,NA,NA,259.581604,NA,NA,3323.53418,NA,NA,0,1.493856311,51.97299957,NA,259.581604,NA,NA,3323.53418,NA,NA,0,1.493856311,51.97299957,NA
Angola,AGO,1989,NA,NA,NA,NA,263.3264465,NA,NA,3212.662842,NA,NA,0,1.960573077,51.69900131,NA,263.3264465,NA,NA,3212.662842,NA,NA,0,1.960573077,51.69900131,NA
Angola,AGO,1990,NA,NA,NA,NA,271.9093933,25.8,NA,2998.780762,NA,NA,0.008015129,-2.981627941,51.34400177,366.81,271.9093933,25.8,NA,2998.780762,NA,NA,0.008015129,-2.981627941,51.34400177,366.81
Angola,AGO,1991,NA,NA,NA,NA,285.0978088,NA,NA,2929.48291,NA,NA,0,6.26663065,50.92599869,366.87,285.0978088,NA,NA,2929.48291,NA,NA,0,6.26663065,50.92599869,366.87
Angola,AGO,1992,NA,NA,NA,NA,315.7893982,NA,NA,2669.434814,NA,NA,0.002273772,3.46608758,50.37400055,368.01,315.7893982,NA,NA,2669.434814,NA,NA,0.002273772,3.46608758,50.37400055,368.01
Angola,AGO,1993,NA,NA,NA,NA,288.5403137,NA,NA,1964.389771,NA,NA,0.034669735,5.236863136,49.89300156,371.25,288.5403137,NA,NA,1964.389771,NA,NA,0.034669735,5.236863136,49.89300156,371.25
Angola,AGO,1994,NA,NA,NA,NA,318.9411316,NA,NA,1927.500488,NA,NA,-0.045062084,3.83703661,49.54999924,373.44,318.9411316,NA,NA,1927.500488,NA,NA,-0.045062084,3.83703661,49.54999924,373.44
Angola,AGO,1995,NA,NA,NA,NA,362.5419922,28.1,NA,2146.455566,NA,NA,-0.018054618,8.529488564,49.18500137,372.15,362.5419922,28.1,NA,2146.455566,NA,NA,-0.018054618,8.529488564,49.18500137,372.15
Angola,AGO,1996,NA,NA,NA,NA,411.2833252,NA,NA,2360.087891,NA,NA,-0.165030822,2.398993969,48.86000061,367.28,411.2833252,NA,NA,2360.087891,NA,NA,-0.165030822,2.398993969,48.86000061,367.28
Angola,AGO,1997,NA,NA,NA,NA,424.4949951,NA,NA,2451.608643,NA,NA,0.05195114,5.38231802,48.41199875,365.78,424.4949951,NA,NA,2451.608643,NA,NA,0.05195114,5.38231802,48.41199875,365.78
Angola,AGO,1998,NA,NA,NA,NA,418.6799927,NA,NA,2485.066895,NA,NA,0,17.12159157,48.00899887,368.56,418.6799927,NA,NA,2485.066895,NA,NA,0,17.12159157,48.00899887,368.56
Angola,AGO,1999,NA,NA,NA,NA,426.8210144,NA,NA,2458.096436,NA,NA,-0.001434843,40.16716385,47.77299881,370.52,426.8210144,NA,NA,2458.096436,NA,NA,-0.001434843,40.16716385,47.77299881,370.52
Angola,AGO,2000,NA,NA,NA,NA,428.5654907,31.2,NA,2451.509766,NA,NA,0,9.62382412,47.64699936,369.13,428.5654907,31.2,NA,2451.509766,NA,NA,0,9.62382412,47.64699936,369.13
Angola,AGO,2001,NA,NA,NA,NA,425.0765076,NA,NA,2471.664551,NA,NA,0,24.00911713,47.57400131,362.52,425.0765076,NA,NA,2471.664551,NA,NA,0,24.00911713,47.57400131,362.52
Angola,AGO,2002,NA,NA,NA,NA,518.697998,NA,NA,2717.440918,NA,NA,0.65493691,11.40618992,47.44800186,357.04,518.697998,NA,NA,2717.440918,NA,NA,0.65493691,11.40618992,47.44800186,357.04
Angola,AGO,2003,NA,NA,NA,NA,498.1446228,NA,NA,2705.706055,NA,NA,0.538379788,20.08101273,47.22600174,356.21,498.1446228,NA,NA,2705.706055,NA,NA,0.538379788,20.08101273,47.22600174,356.21
Angola,AGO,2004,NA,NA,NA,NA,634.7999878,NA,NA,2900.166992,NA,NA,3.325553179,9.329241753,47.09899902,358.01,634.7999878,NA,NA,2900.166992,NA,NA,3.325553179,9.329241753,47.09899902,358.01
Angola,AGO,2005,NA,NA,NA,NA,726.1116333,35.6,NA,3220.078125,3,1,0.593336761,-3.526655436,46.94400024,349.97,726.1116333,35.6,NA,3220.078125,3,1,0.593336761,-3.526655436,46.94400024,349.97
Angola,AGO,2006,NA,NA,NA,NA,798.7351685,NA,NA,3464.234619,NA,NA,0.363843888,-0.072001025,46.64300156,346.7,798.7351685,NA,NA,3464.234619,NA,NA,0.363843888,-0.072001025,46.64300156,346.7
Angola,AGO,2007,NA,NA,NA,NA,944.1738281,NA,NA,3806.849121,5,1,1.397014022,-1.368761659,46.29000092,338.64,944.1738281,NA,NA,3806.849121,5,1,1.397014022,-1.368761659,46.29000092,338.64
Angola,AGO,2008,NA,NA,NA,NA,1073.339844,NA,NA,4077.776855,NA,NA,2.902286291,1.896315098,45.88899994,336.58,1073.339844,NA,NA,4077.776855,NA,NA,2.902286291,1.896315098,45.88899994,336.58
